Disk,No.,Song Name,Get Wild,ATK
1,1,Get Wild,8,30
1,2,Get Wild (“FANKS CRY-MAX” Version),14,90
1,3,GET WILD ’89,12,92
1,4,Get Wild (“CAROL TOUR FINAL CAMP FANKS!! ’89” Version),18,115
1,5,Get Wild (“RHYTHM RED TMN TOUR” Version),14,110
1,6,Get Wild (“tour TMN EXPO ARENA FINAL” Version),17,36
1,7,Get Wild (techno overdub mix),12,94
1,8,GET WILD ’89 (“TMN final live LAST GROOVE 5.18” Version),16,210
1,9,GET WILD DECADE RUN,16,30
1,10,GET WILD (“LIVE EPIC25” Version),8,118
2,1,Get Wild (“DOUBLE-DECADE “NETWORK”” Version),8,42
2,2,Get Wild (“DOUBLE-DECADE TOUR FINAL “NETWORK”” Version),78,132
2,3,Get Wild (“REMASTER” Version),11,160
2,4,Get Wild (“Incubation Period” Version),12,44
2,5,Get Wild (“FINAL MISSION -START investigation-” Version),8,145
2,6,Get Wild 2014,8,145
2,7,Get Wild 2014 (“the beginning of the end” Version),16,287
2,8,Get Wild 2014 (“30th 1984~ QUIT30” Version),15,277
3,1,Get Wild 2014 (“QUIT30 HUGE DATA” Version),9,695
3,2,Get Wild 2015 -HUGE DATA-,8,310
3,3,Get Wild 2015 (“30th FINAL” Version),8,1113
4,2,Get Wild (Dave Rodgers),12,45
4,3,Get Wild (小室みつ子),7,34
4,4,Get Wild (CITY HUNTER SPECIAL’97 VERSION) (NAHO),6,30
4,5,Get Wild (玉置成実),10,28
4,6,Get Wild (緒方恵美),8,30
4,7,Get Wild (超新星),11,30
4,8,Get Wild (globe),27,44
4,9,Get Wild (Clementine),8,27
4,11,Get Wild (Purple Days),8,30
4,12,GET WILD (2017 TK REMIX),8,148
4,15,GET WILD (Dave Rodgers Remix),8,40
